TransactionID,StoreID,ProductID,Category,Quantity,Price,Discount,City,PaymentMode,Rating
100003,349,1083,Grocery,2,9924.99,5,Chennai,UPI,5
100006,72,1090,Grocery,7,7155.85,30,Chennai,Card,5
100010,122,1075,Furniture,2,3204.89,15,Bangalore,Cash,5
100019,152,1090,Clothing,10,3774.64,10,Delhi,Cash,5
100028,386,1015,Electronics,10,4768.52,15,Chennai,UPI,5
100038,345,1015,Grocery,10,5081.99,5,Delhi,Card,5
100039,49,1007,Electronics,7,9195.04,10,Bangalore,Card,5
100059,135,1077,Clothing,9,5677.98,15,Bangalore,Cash,5
100074,92,1009,Furniture,1,8073.62,5,Mumbai,Card,5
100076,444,1069,Grocery,8,5276.8,0,Bangalore,Card,5
100091,106,1068,Clothing,7,8439.38,5,Delhi,Card,5
100093,310,1033,Furniture,6,9643.23,30,Delhi,UPI,5
100097,218,1051,Grocery,6,2095.97,10,Delhi,Card,5
100098,44,1074,Clothing,1,4499.49,10,Mumbai,Cash,5
100102,484,1015,Electronics,9,7990.51,25,Lucknow,Card,5
100109,215,1012,Furniture,9,6010.3,20,Bangalore,Cash,5
100128,15,1098,Furniture,7,5408.85,20,Mumbai,Cash,5
100130,65,1004,Grocery,7,2522.92,25,Lucknow,Card,5
100133,9,1045,Furniture,8,200.21,30,Lucknow,Cash,5
100136,492,1028,Furniture,9,4636.98,5,Lucknow,Card,5
100141,499,1098,Furniture,9,3982.83,25,Mumbai,Cash,5
100142,81,1001,Grocery,10,5168.73,30,Mumbai,Cash,5
100145,419,1090,Grocery,5,4473.05,20,Chennai,Card,5
100156,268,1038,Furniture,6,6413.85,20,Delhi,UPI,5
100160,407,1049,Grocery,9,4658.08,30,Chennai,Card,5
100161,62,1059,Furniture,2,9937.34,20,Chennai,UPI,5
100163,293,1068,Clothing,10,4686.28,15,Delhi,Card,5
100164,99,1071,Grocery,3,3072.55,10,Lucknow,UPI,5
100168,475,1088,Furniture,1,3400.69,20,Mumbai,UPI,5
100171,227,1040,Electronics,4,833.07,20,Lucknow,UPI,5
100172,101,1048,Electronics,7,2718.59,15,Delhi,Cash,5
100182,283,1077,Furniture,6,9658.07,0,Delhi,UPI,5
100185,15,1068,Electronics,1,7134.93,10,Lucknow,Cash,5
100186,346,1080,Grocery,7,7734.25,25,Mumbai,Card,5
100192,352,1086,Furniture,7,8458.83,5,Chennai,Cash,5
100193,231,1086,Clothing,10,2131.43,30,Delhi,Cash,5
100200,407,1095,Clothing,10,1130.38,15,Lucknow,Card,5
100215,170,1037,Electronics,7,6395.26,20,Delhi,Cash,5
100216,45,1077,Grocery,6,8516.14,15,Delhi,UPI,5
100228,128,1044,Clothing,1,4719.4,0,Lucknow,Card,5
100231,231,1068,Clothing,2,5832.84,15,Mumbai,Cash,5
100245,456,1060,Clothing,4,6992.56,0,Bangalore,Card,5
100247,137,1021,Clothing,3,8226.92,10,Chennai,Card,5
100249,165,1065,Clothing,1,3490.93,15,Delhi,UPI,5
100254,152,1085,Clothing,6,2742.22,30,Lucknow,Cash,5
100255,463,1049,Furniture,10,2370.42,30,Delhi,Card,5
100256,315,1009,Clothing,2,703.73,5,Lucknow,UPI,5
100257,374,1017,Furniture,8,1984.79,20,Bangalore,Card,5
100262,180,1095,Electronics,2,3424.35,15,Delhi,Card,5
100264,318,1061,Electronics,7,7847.98,10,Delhi,Cash,5
100269,295,1019,Electronics,6,7409.54,0,Chennai,Card,5
100271,387,1050,Clothing,2,9572.23,20,Lucknow,Card,5
100273,101,1013,Grocery,10,974.15,20,Bangalore,Cash,5
100275,440,1097,Clothing,6,3962.98,30,Delhi,Cash,5
100280,130,1036,Grocery,9,2973.47,5,Bangalore,Card,5
100294,160,1020,Electronics,7,2366.48,5,Delhi,UPI,5
100299,439,1021,Clothing,5,1652.49,0,Lucknow,Card,5
100300,203,1018,Electronics,6,533.14,10,Lucknow,Card,5
