TransactionID,StoreID,ProductID,Category,Quantity,Price,Discount,City,PaymentMode,Rating
100005,107,1003,Electronics,2,455.32,5,Delhi,UPI,3
100012,215,1082,Furniture,7,7798.39,5,Delhi,Cash,4
100014,459,1086,Grocery,6,1267.04,15,Delhi,Cash,1
100018,360,1026,Electronics,1,3378.29,20,Delhi,UPI,3
100019,152,1090,Clothing,10,3774.64,10,Delhi,Cash,5
100024,344,1040,Furniture,7,1239.61,25,Delhi,UPI,1
100032,161,1074,Furniture,8,5526.06,20,Delhi,UPI,2
100033,460,1052,Electronics,3,8581.92,25,Delhi,UPI,4
100034,314,1077,Clothing,6,5193.81,10,Delhi,Cash,2
100036,253,1053,Furniture,1,2621.95,25,Delhi,Card,3
100037,236,1050,Grocery,3,6205.03,25,Delhi,Card,4
100038,345,1015,Grocery,10,5081.99,5,Delhi,Card,5
100045,464,1100,Clothing,7,9969.37,20,Delhi,Card,2
100046,271,1085,Clothing,10,7338.28,5,Delhi,Card,2
100062,167,1094,Grocery,7,7443.59,0,Delhi,UPI,3
100064,388,1068,Clothing,3,1943.48,10,Delhi,Cash,3
100073,340,1092,Clothing,6,2779.42,15,Delhi,Card,4
100077,455,1054,Furniture,8,6533.67,15,Delhi,UPI,3
100078,428,1054,Clothing,6,8776.81,20,Delhi,Cash,2
100083,81,1098,Clothing,10,7531.51,5,Delhi,UPI,4
100085,50,1077,Furniture,9,7956.86,10,Delhi,Card,4
100091,106,1068,Clothing,7,8439.38,5,Delhi,Card,5
100093,310,1033,Furniture,6,9643.23,30,Delhi,UPI,5
100095,191,1056,Electronics,10,9830.25,25,Delhi,UPI,1
100097,218,1051,Grocery,6,2095.97,10,Delhi,Card,5
100110,252,1004,Electronics,3,9318.38,0,Delhi,Cash,2
100113,213,1080,Furniture,3,5712.59,5,Delhi,Cash,2
100126,41,1035,Furniture,9,7927.52,15,Delhi,UPI,2
100127,157,1063,Furniture,1,5179.64,30,Delhi,UPI,2
100138,472,1080,Clothing,3,9691.35,25,Delhi,Card,3
100139,63,1076,Furniture,6,9725.96,0,Delhi,Cash,4
100146,289,1017,Grocery,7,7398.96,10,Delhi,Card,3
100151,41,1042,Clothing,6,9770.48,15,Delhi,Cash,4
100153,135,1090,Grocery,9,5445.21,30,Delhi,Cash,1
100156,268,1038,Furniture,6,6413.85,20,Delhi,UPI,5
100158,33,1022,Electronics,4,2910.26,15,Delhi,Card,1
100163,293,1068,Clothing,10,4686.28,15,Delhi,Card,5
100166,360,1002,Electronics,4,9230.59,20,Delhi,Cash,1
100172,101,1048,Electronics,7,2718.59,15,Delhi,Cash,5
100173,431,1051,Electronics,6,2085.73,5,Delhi,Cash,1
100182,283,1077,Furniture,6,9658.07,0,Delhi,UPI,5
100190,179,1036,Electronics,8,6737.88,0,Delhi,Card,4
100193,231,1086,Clothing,10,2131.43,30,Delhi,Cash,5
100202,237,1031,Electronics,10,3373.4,20,Delhi,Cash,1
100203,143,1058,Electronics,3,8231.92,15,Delhi,Card,1
100205,29,1053,Grocery,8,2311.6,10,Delhi,UPI,1
100210,187,1016,Furniture,7,4688.6,0,Delhi,Cash,3
100214,66,1017,Grocery,1,1529.62,20,Delhi,Cash,3
100215,170,1037,Electronics,7,6395.26,20,Delhi,Cash,5
100216,45,1077,Grocery,6,8516.14,15,Delhi,UPI,5
100219,134,1045,Furniture,2,7450.86,25,Delhi,Cash,2
100227,331,1019,Grocery,4,2859.45,0,Delhi,Card,4
100229,348,1007,Furniture,4,5633.9,5,Delhi,Cash,4
100233,225,1066,Furniture,10,886.65,0,Delhi,Card,3
100234,385,1069,Electronics,3,6307.19,20,Delhi,Card,3
100240,461,1077,Grocery,2,496.04,5,Delhi,Cash,3
100241,233,1069,Electronics,6,7466.46,0,Delhi,Cash,4
100242,259,1010,Grocery,1,448.09,20,Delhi,UPI,2
100243,359,1010,Furniture,9,4506.46,20,Delhi,UPI,2
100248,318,1008,Clothing,5,3494.35,10,Delhi,UPI,3
100249,165,1065,Clothing,1,3490.93,15,Delhi,UPI,5
100251,307,1078,Grocery,3,6870.3,20,Delhi,Card,1
100255,463,1049,Furniture,10,2370.42,30,Delhi,Card,5
100258,160,1069,Grocery,2,4517.82,25,Delhi,UPI,4
100260,472,1057,Grocery,3,2768.1,30,Delhi,UPI,2
100262,180,1095,Electronics,2,3424.35,15,Delhi,Card,5
100264,318,1061,Electronics,7,7847.98,10,Delhi,Cash,5
100268,268,1063,Grocery,1,8295.62,0,Delhi,Cash,3
100275,440,1097,Clothing,6,3962.98,30,Delhi,Cash,5
100278,113,1043,Grocery,2,8089.08,30,Delhi,Card,4
100279,2,1049,Clothing,6,1438.9,25,Delhi,Cash,4
100285,224,1001,Clothing,5,8550.68,15,Delhi,Cash,1
100291,53,1080,Grocery,7,2851.48,10,Delhi,UPI,4
100294,160,1020,Electronics,7,2366.48,5,Delhi,UPI,5
100303,401,1057,Furniture,10,8236.83,25,Delhi,Card,2
100306,280,1097,Furniture,8,849.45,15,Delhi,Card,5
100307,325,1065,Electronics,5,5877.45,25,Delhi,Card,4
100318,187,1044,Grocery,9,2058.49,10,Delhi,UPI,5
100319,326,1098,Electronics,2,4833.47,5,Delhi,Cash,2
100325,443,1077,Clothing,3,8788.06,5,Delhi,UPI,5
100328,346,1081,Furniture,3,9501.89,5,Delhi,Cash,2
100332,352,1007,Electronics,7,8120.87,10,Delhi,Card,1
100340,338,1027,Grocery,7,8660.27,15,Delhi,UPI,2
100344,476,1062,Furniture,2,6426.22,20,Delhi,Cash,4
100349,415,1039,Electronics,1,8460.94,10,Delhi,UPI,5
100363,304,1088,Grocery,1,9121.29,10,Delhi,UPI,3
100365,140,1073,Electronics,1,3800.12,10,Delhi,Card,3
100370,233,1069,Grocery,3,3829.08,5,Delhi,Cash,3
100372,147,1042,Electronics,8,6847.67,10,Delhi,Card,5
100376,404,1082,Clothing,10,4453.26,20,Delhi,Card,4
100377,152,1017,Grocery,6,7506.22,25,Delhi,Cash,4
100379,120,1088,Electronics,9,9291.91,20,Delhi,Card,4
100380,161,1075,Furniture,9,5866.31,30,Delhi,UPI,4
100399,366,1085,Furniture,6,2663.83,10,Delhi,Card,5
100403,163,1047,Clothing,3,1749.74,20,Delhi,UPI,3
100404,208,1059,Clothing,7,8149.79,10,Delhi,Card,2
100409,68,1046,Grocery,10,5762.37,20,Delhi,UPI,5
100414,404,1039,Clothing,8,1997.33,25,Delhi,UPI,3
100415,384,1049,Grocery,8,6064.2,5,Delhi,UPI,5
100421,33,1095,Electronics,10,9060.38,30,Delhi,Cash,3
100447,453,1022,Grocery,3,3411.24,10,Delhi,UPI,1
100458,158,1001,Grocery,7,6855.23,5,Delhi,Card,1
100465,233,1042,Electronics,7,9410.8,10,Delhi,Card,2
100466,37,1012,Electronics,10,104.45,20,Delhi,Cash,3
100468,349,1066,Electronics,7,2866.78,15,Delhi,Card,1
100473,99,1068,Furniture,1,7900.04,30,Delhi,Card,4
100489,223,1032,Clothing,5,8396.08,10,Delhi,UPI,3
100492,323,1086,Clothing,4,2313.08,30,Delhi,Cash,2
100495,280,1051,Clothing,2,7522.48,0,Delhi,Card,5
100496,114,1067,Electronics,7,9510.84,5,Delhi,UPI,5
100501,450,1007,Electronics,7,192.62,10,Delhi,Cash,1
100510,393,1083,Clothing,4,9227.9,20,Delhi,Card,5
100514,39,1009,Furniture,2,1393.03,0,Delhi,Cash,1
100515,477,1091,Electronics,3,3170.98,15,Delhi,UPI,4
100532,494,1089,Clothing,2,1223.19,0,Delhi,Cash,5
100539,92,1027,Clothing,9,1873.75,10,Delhi,UPI,5
100540,354,1006,Furniture,5,4979.2,20,Delhi,Cash,5
100541,322,1017,Grocery,7,8748.91,0,Delhi,UPI,2
100547,153,1052,Grocery,8,1549.19,0,Delhi,Cash,4
100551,125,1043,Grocery,7,6494.81,0,Delhi,Card,2
100564,101,1013,Clothing,3,303.81,0,Delhi,UPI,1
100572,103,1057,Electronics,3,2254.08,25,Delhi,UPI,5
100579,47,1090,Furniture,2,9574.51,20,Delhi,UPI,5
100584,144,1034,Furniture,1,1661.98,15,Delhi,UPI,3
100585,269,1067,Grocery,7,438.72,30,Delhi,Card,5
100589,158,1071,Clothing,2,9283.99,15,Delhi,Card,3
100593,319,1063,Grocery,8,1408.62,25,Delhi,Card,5
100605,393,1045,Electronics,4,5108.37,30,Delhi,UPI,3
100606,396,1011,Clothing,10,1329.97,30,Delhi,Card,4
100607,129,1070,Clothing,5,4975.27,15,Delhi,Card,5
100612,290,1002,Furniture,9,9935.0,10,Delhi,UPI,1
100614,126,1084,Grocery,9,2160.27,20,Delhi,UPI,3
100615,118,1089,Furniture,1,5493.41,0,Delhi,Card,2
100619,237,1037,Clothing,10,2898.07,25,Delhi,UPI,5
100620,373,1049,Furniture,6,322.92,30,Delhi,Card,2
100621,385,1052,Grocery,4,1701.31,0,Delhi,UPI,1
100623,189,1022,Clothing,8,9719.67,15,Delhi,Cash,5
100640,462,1054,Electronics,10,2994.18,30,Delhi,Cash,5
100667,100,1038,Grocery,9,5747.81,5,Delhi,Card,1
100668,290,1069,Electronics,8,8800.83,25,Delhi,UPI,4
100670,223,1092,Clothing,4,6271.81,5,Delhi,Card,4
100671,394,1098,Clothing,9,1730.05,10,Delhi,UPI,5
100674,442,1096,Electronics,9,7501.65,30,Delhi,Cash,1
100689,475,1011,Furniture,1,2928.54,5,Delhi,Card,4
100690,340,1097,Clothing,9,8720.45,30,Delhi,Card,4
100691,152,1058,Furniture,3,8904.4,0,Delhi,Card,5
100696,33,1039,Electronics,5,2132.02,5,Delhi,UPI,3
100704,65,1065,Grocery,1,5232.51,20,Delhi,Cash,1
100712,12,1043,Electronics,2,6803.49,10,Delhi,Card,2
100719,35,1064,Clothing,3,293.47,15,Delhi,Cash,4
100723,264,1002,Clothing,9,1908.77,0,Delhi,Card,1
100724,93,1034,Clothing,8,6280.87,0,Delhi,UPI,3
100736,75,1074,Grocery,2,8582.46,10,Delhi,Cash,3
100754,466,1013,Clothing,7,4379.43,25,Delhi,Card,2
100757,96,1021,Furniture,5,6402.78,25,Delhi,UPI,5
100761,224,1038,Furniture,5,1817.21,15,Delhi,Card,4
100765,183,1046,Clothing,6,3507.98,15,Delhi,UPI,5
100769,355,1008,Grocery,5,5213.95,15,Delhi,UPI,1
100770,361,1097,Furniture,6,910.86,30,Delhi,Cash,3
100771,286,1071,Electronics,6,3853.41,15,Delhi,Card,4
100776,368,1085,Electronics,5,7157.58,10,Delhi,Card,1
100782,177,1031,Electronics,6,7592.76,25,Delhi,Cash,5
100785,445,1015,Clothing,3,3883.21,15,Delhi,Card,3
100795,52,1071,Electronics,4,5799.89,20,Delhi,UPI,1
100803,25,1031,Clothing,6,3624.81,25,Delhi,UPI,5
100811,57,1029,Clothing,7,5766.5,20,Delhi,Card,1
100819,223,1093,Grocery,2,1788.77,20,Delhi,Cash,2
100822,163,1007,Furniture,2,3668.27,30,Delhi,Cash,4
100826,331,1058,Furniture,4,1745.53,5,Delhi,Cash,3
100832,442,1001,Grocery,9,7511.7,5,Delhi,Card,5
100834,401,1074,Electronics,2,9249.61,15,Delhi,Card,5
100836,230,1052,Grocery,3,2586.66,25,Delhi,Cash,4
100837,7,1025,Clothing,3,9897.42,10,Delhi,Card,2
100843,434,1053,Electronics,5,7145.79,25,Delhi,UPI,1
100845,122,1058,Clothing,6,9791.96,10,Delhi,UPI,5
100850,422,1022,Grocery,2,7094.19,15,Delhi,Card,1
100853,496,1024,Electronics,1,9166.95,20,Delhi,UPI,1
100854,365,1084,Clothing,3,4119.84,25,Delhi,Cash,1
100862,132,1055,Electronics,10,3736.37,5,Delhi,Cash,2
100864,70,1088,Grocery,1,5704.03,10,Delhi,Cash,1
100870,182,1065,Grocery,2,1809.31,0,Delhi,Card,3
100880,141,1081,Clothing,5,6320.74,0,Delhi,Card,3
100883,126,1016,Clothing,7,4694.33,30,Delhi,Card,2
100896,190,1075,Grocery,2,2057.64,0,Delhi,Card,2
