TransactionID,StoreID,ProductID,Category,Quantity,Price,Discount,City,PaymentMode,Rating
100002,436,1013,Grocery,4,5647.0,30,Lucknow,UPI,3
100006,72,1090,Grocery,7,7155.85,30,Chennai,Card,5
100013,331,1077,Grocery,6,5406.82,30,Bangalore,UPI,3
100015,88,1076,Grocery,8,6552.44,30,Mumbai,Card,4
100024,344,1040,Furniture,7,1239.61,25,Delhi,UPI,1
100026,414,1073,Electronics,6,2200.08,30,Mumbai,UPI,3
100027,294,1032,Furniture,3,3006.1,25,Lucknow,Card,4
100033,460,1052,Electronics,3,8581.92,25,Delhi,UPI,4
100036,253,1053,Furniture,1,2621.95,25,Delhi,Card,3
100037,236,1050,Grocery,3,6205.03,25,Delhi,Card,4
100042,170,1032,Grocery,3,5682.65,25,Chennai,Card,4
100043,476,1099,Clothing,7,7114.58,30,Mumbai,UPI,1
100055,320,1093,Clothing,2,5709.68,30,Chennai,Card,2
100058,307,1040,Electronics,9,1539.33,30,Lucknow,Cash,3
100065,89,1080,Grocery,10,9926.02,25,Lucknow,Cash,1
100067,14,1053,Clothing,8,1461.89,30,Lucknow,UPI,2
100069,265,1044,Clothing,6,6287.2,30,Chennai,Card,3
100088,2,1075,Grocery,2,1213.42,30,Chennai,Card,2
100090,54,1038,Furniture,9,8440.03,25,Lucknow,Card,3
100092,260,1053,Furniture,9,4765.13,30,Lucknow,UPI,1
100093,310,1033,Furniture,6,9643.23,30,Delhi,UPI,5
100094,477,1071,Electronics,7,6825.95,30,Chennai,Card,1
100095,191,1056,Electronics,10,9830.25,25,Delhi,UPI,1
100096,402,1072,Clothing,5,5370.71,30,Chennai,Cash,4
100102,484,1015,Electronics,9,7990.51,25,Lucknow,Card,5
100103,270,1005,Grocery,7,4476.85,25,Lucknow,Card,4
100105,304,1083,Electronics,1,6113.65,25,Mumbai,UPI,3
100112,296,1018,Electronics,8,4367.05,25,Lucknow,Cash,3
100118,53,1098,Grocery,1,9566.75,25,Mumbai,Cash,3
100119,280,1036,Clothing,7,8819.49,30,Lucknow,Cash,4
100121,217,1009,Electronics,6,4727.63,30,Lucknow,Card,3
100122,252,1061,Grocery,6,5910.76,30,Lucknow,UPI,4
100123,188,1053,Furniture,3,8396.49,25,Chennai,Card,2
100124,380,1018,Electronics,3,5486.15,25,Mumbai,Cash,1
